,Sony PS5 PlayStation Console,Sony PS5 PlayStation Console+God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),Hogwarts Legacy | Standard Edition| PlayStation 5 (PS5),"Square Enix Final Fantasy Xvi, Standard Edition, Playstation 5 (Ps5)",PlayStation 5 DualSense Wireless Controller,Far Cry 6 - PlayStation 5 Standard Edition,Cult of the lamb | Standard Edition | PlayStation 5,Call of Duty: Vanguard (PS5) - PlayStation 5,Sony Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),Dorca® Dust Cover for Sony Playstation 5 Cover Disc & Digital Edition,WALLTON - PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Batman - (Black),PS5 Grand Theft Auto V,2K GAMES Ps5 Wwe 2K22,Electronic Arts Dead Space | Standard Edition | PlayStation 5,GLITCH | ps5 console carry bag | bags for travel playstation 5 carrying case cover travelling handbag protective play station 5 storage protection | disc and digital edition accessories (Black),"Benazcap for PS5 Faceplate, Hard Shockproof Playstation 5 Plates PS5 Face Plate Cover Shell Skin Case, ABS PS5 Console Plate Replacement PS5 Side Plate, Accessories for PS5 Plates Black (Disc Version)","Capcom Street Fighter 6, Standard Edition, Playstation 5"
User_1,0,5,3,1,0,0,0,4,2,3,0,5,4,0,0,0,0,1
User_2,1,0,2,0,0,0,1,3,0,1,1,0,2,0,0,5,5,4
User_3,0,0,2,1,0,1,0,5,0,2,0,1,1,0,5,3,5,4
User_4,1,5,0,0,0,0,0,0,4,0,0,1,0,4,0,5,3,0
User_5,0,4,3,3,3,0,0,0,4,2,0,0,0,0,3,2,4,1
User_6,0,3,3,1,3,1,1,1,0,0,0,2,0,1,5,0,1,3
User_7,0,0,0,0,5,4,2,4,4,0,4,1,4,4,0,0,0,1
User_8,4,4,0,1,1,0,0,0,5,0,1,3,0,5,5,0,1,0
User_9,0,0,2,1,0,0,5,0,0,1,5,0,2,3,0,3,0,2
User_10,2,1,0,4,0,0,0,1,2,0,1,0,2,0,2,0,5,0
