,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30
User_1,4.0,,3.0,5.0,5.0,2.0,3.0,3.0,,5.0,4.0,3.0,5.0,2.0,4.0,,4.0,5.0,1.0,4.0,2.0,5.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0
User_2,3.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,1.0,,4.0,1.0,4.0,2.0,2.0,1.0,2.0,,2.0,4.0,4.0,4.0,4.0,,3.0,1.0,4.0,2.0,4.0,2.0
User_3,2.0,4.0,5.0,,2.0,4.0,2.0,2.0,4.0,,1.0,5.0,,2.0,5.0,2.0,1.0,4.0,,4.0,5.0,1.0,,5.0,1.0,1.0,1.0,1.0,4.0,3.0
User_4,3.0,1.0,3.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,5.0,2.0,3.0,1.0,2.0
User_5,,,5.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0
User_6,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0
User_7,1.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,3.0,1.0,5.0,4.0,2.0,3.0,1.0,1.0,4.0,3.0,5.0,3.0,4.0,4.0
User_8,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0
User_9,3.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0
User_10,3.0,1.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,1.0,4.0,1.0,5.0,4.0,5.0,3.0,4.0,3.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0
User_11,5.0,5.0,1.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0
User_12,3.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,5.0,4.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,5.0,1.0,5.0
User_13,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,1.0,4.0,5.0,1.0,2.0,2.0,1.0,2.0
User_14,1.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,5.0,4.0,2.0,2.0,5.0,4.0,1.0,5.0,2.0,2.0,5.0,4.0
User_15,2.0,4.0,2.0,2.0,3.0,2.0,1.0,5.0,5.0,4.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,5.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,2.0
User_16,3.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,5.0,2.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0
User_17,1.0,,2.0,5.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,5.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,3.0,1.0,4.0,4.0,5.0,1.0
User_18,3.0,4.0,1.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,4.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0
User_19,1.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0
User_20,2.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
User_21,3.0,,5.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0
User_22,5.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0
User_23,5.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,1.0,5.0,1.0,1.0,3.0
User_24,5.0,5.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,5.0,3.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
User_25,3.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,5.0,5.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0
